source,board_publisher,subject,level,response_files,commentary_files,medium,total_scores,criterion_level,explains_why,visual_content,est_usable_records,licence,access,duplicate_risk,notes
sqa-higher-modern-studies-assignment,SQA,modern studies,Higher,"12 candidate evidence PDF","5 commentary PDF",typed,yes,yes,per mark tied to candidate sentences,minimal,~20,measure-only,open,none,"Typed plus per-mark. Breaks the handwriting-vs-judgement confound; highest value in the audit"
sqa-higher-psychology,SQA,psychology,Higher,"~30 candidate evidence PDF","~12 commentary PDF",typed,yes,yes,itemised elements with marks each,minimal,~24,measure-only,open,none,"Assignment format; diamond-bulleted elements with marks"
sqa-higher-modern-studies-qp,SQA,modern studies,Higher,"~28 candidate evidence PDF","~14 commentary PDF",handwritten,yes,yes,per mark with quoted candidate text,some sources,~50,measure-only,open,none,"Source-based questions; marks attributed to specific lines"
sqa-national5-maths,SQA,maths,National 5 (GCSE-equivalent),"~7 candidate evidence PDF","~7 commentary PDF",handwritten,yes,yes,per mark bullet with reason,graphs and diagrams,~60,measure-only,open,none,"Identical format to Higher Maths; adds the level dimension below A-level"
sqa-advanced-higher-maths,SQA,maths,Advanced Higher,"~8 candidate evidence PDF","~8 commentary PDF",handwritten,yes,yes,per mark bullet with reason,graphs and diagrams,~50,measure-only,open,"overlaps qualifications-scotland-advanced-higher on 2025","Adds the level dimension above A-level"
sqa-higher-maths,SQA,maths,Higher,"~10 candidate evidence PDF","~10 commentary PDF",handwritten,yes,yes,per mark bullet with reason,graphs and diagrams,~150,measure-only,open,"2023 papers duplicate qualifications-scotland","Multiple years 2018-2024; large multiplier on the format already parsed"
sqa-higher-physics,SQA,physics,Higher,"~9 candidate evidence PDF","~9 commentary PDF",handwritten,yes,yes,per question per response with reason,graphs and circuit diagrams,~60,measure-only,open,none,"Tests whether the finding is about maths or quantitative marking generally"
sqa-higher-chemistry,SQA,chemistry,Higher,"~13 candidate evidence PDF","~13 commentary PDF",mixed,yes,yes,per section awarded X of Y because,graphs and tables,~40,measure-only,open,none,"Assignment format; section-level with explicit reasons"
sqa-higher-biology,SQA,biology,Higher,"~10 candidate evidence PDF","~10 commentary PDF",mixed,yes,yes,per section awarded X of Y because,graphs and tables,~30,measure-only,open,none,"Assignment format; section-level with explicit reasons"
qualifications-scotland,SQA,maths,Higher,"2 candidate evidence PDF","2 commentary PDF",handwritten,yes,yes,per mark bullet with reason,graphs and diagrams,89,measure-only,open,"2023 duplicated in sqa-higher-maths","Already ingested; the current criterion benchmark"
qualifications-scotland-advanced-higher,SQA,maths,Advanced Higher,"2 candidate evidence PDF","2 commentary PDF",handwritten,yes,yes,per mark bullet with reason,graphs and diagrams,~25,measure-only,open,"overlaps sqa-advanced-higher-maths on 2025","Catalogued but not ingested"
sqa-higher-english,SQA,english,Higher,"~60 candidate evidence PDF","~40 commentary PDF",typed,yes,partial,RUAE cites scheme bullets; critical essay is holistic,none,~40 RUAE only,measure-only,open,none,"MUST be split by paper. RUAE is criterion-level; critical essay is not"
sqa-higher-history,SQA,history,Higher,"~11 candidate evidence PDF","~11 commentary PDF",handwritten,yes,unverified,structured breakdown of a total,sources,~40,measure-only,open,none,"Close to criterion-level; needs a closer read before committing parser work"
sqa-higher-modern-languages,SQA,"french, spanish, german",Higher,"~14 candidate evidence PDF","~14 commentary PDF",typed,yes,no,trait-level prose (Content / Language),none,~30,measure-only,open,none,"Only languages evidence held anywhere; trait-level not per-mark"
pearson-gcse-maths,Pearson Edexcel,maths,GCSE,"3 PDF (combined)","same files",handwritten,yes,no,per sub-question prose reason,graphs and diagrams,~120,board exemplar unverified,open,none,"Strongest non-SQA source. English-board GCSE maths, which nothing else covers"
cambridge-ecr,Cambridge International,english language,AS/A Level,"1 PDF (combined)","same file",typed,yes,no,band-level with numbered annotations,none,~12,board exemplar unverified,"some ECRs are School Support Hub gated",none,"Broad subject range available if the format proves parseable"
nzqa-exemplars,NZQA,"maths, statistics",NCEA,"9 PDF","annotations within",handwritten,band only,no,band-level (Achieved/Merit/Excellence),graphs,~9,board exemplar unverified,open,none,"Unit is the band, not the mark"
ocr-a-level-maths-h240,OCR,maths,A Level,none,"1 examiners report",n/a,no,no,cohort-level only,n/a,0,board exemplar unverified,open,none,"NOT USABLE. Examiners report marks no individual script. Was priority 2 on the acquisition list"
pearson-alevel-spanish,Pearson Edexcel,spanish,A Level,none,"1 examiners report",n/a,no,no,cohort-level only,n/a,0,board exemplar unverified,open,none,"NOT USABLE. Principal Examiner Feedback"
pearson-alevel-german,Pearson Edexcel,german,A Level,unverified,"1 PDF",n/a,unverified,no,unverified,n/a,0,board exemplar unverified,open,none,"Expect examiners report; verify before parser work"
pearson-ial-french,Pearson Edexcel,french,International A Level,unverified,"1 PDF",n/a,unverified,no,unverified,n/a,0,board exemplar unverified,open,none,"Expect examiners report; verify before parser work"
pearson-alevel-further-maths,Pearson Edexcel,further maths,A Level,unverified,"1 PDF",unverified,unverified,unverified,unverified,unverified,unverified,board exemplar unverified,open,none,"Single file; verify shape before scheduling"
pearson-gcse-chemistry,Pearson Edexcel,chemistry,GCSE,unverified,"1 PDF",unverified,unverified,unverified,unverified,unverified,unverified,board exemplar unverified,open,none,"Single file; verify shape before scheduling"
pearson-gcse-business,Pearson Edexcel,business,GCSE,unverified,"1 PDF",unverified,unverified,unverified,unverified,unverified,unverified,board exemplar unverified,open,none,"Single file; verify shape before scheduling"
pearson-gcse-english-language,Pearson Edexcel,english language,GCSE,unverified,"1 PDF",unverified,unverified,unverified,unverified,unverified,unverified,board exemplar unverified,open,none,"Single file; verify shape before scheduling"
pearson-gcse-spanish,Pearson Edexcel,spanish,GCSE,unverified,"1 PDF",unverified,unverified,unverified,unverified,unverified,unverified,board exemplar unverified,open,none,"Single file; verify shape before scheduling"
pearson-igcse-geography,Pearson Edexcel,geography,International GCSE,unverified,"1 PDF",unverified,unverified,unverified,"maps, graphs, data",unverified,board exemplar unverified,open,none,"Single file; verify shape before scheduling"
ocr-gcse-combined-science,OCR,combined science,GCSE,unverified,"1 PDF",unverified,unverified,unverified,diagrams,unverified,board exemplar unverified,open,none,"Single file; verify shape before scheduling"
pearson-alevel,Pearson Edexcel,economics,A Level,"3 PDF","same files",typed,yes,no,answer-level paragraphs,none,42,board exemplar unverified,open,none,"Already ingested; holistic commentary is why it cannot do what SQA does"
aqa-alevel-english,AQA,english,A Level,"5 HTML","same files",typed,yes,no,answer-level,none,4,board exemplar unverified,open,none,"Already ingested; tiny"
ocr-alevel,OCR,unverified,A Level,"2 PDF",unverified,unverified,unverified,unverified,unverified,unverified,unverified,board exemplar unverified,open,none,"Catalogued not ingested; verify shape"
ocr-gcse,OCR,unverified,GCSE,"1 PDF",unverified,unverified,unverified,unverified,unverified,unverified,unverified,board exemplar unverified,open,none,"Catalogued not ingested; verify shape"
pearson-gcse,Pearson Edexcel,unverified,GCSE,"1 PDF",unverified,unverified,unverified,unverified,unverified,unverified,unverified,board exemplar unverified,open,none,"Catalogued not ingested; verify shape"
